"","x","y"
"1",1938,0.146487277957779
"2",1939,0.15494562592575
"3",1940,0.163403973893722
"4",1941,0.171862321861693
"5",1942,0.180320669829665
"6",1943,0.188779017797636
"7",1944,0.201684610045158
"8",1945,0.21459020229268
"9",1946,0.227495794540201
"10",1947,0.240401386787723
"11",1948,0.253306979035245
"12",1949,0.265291900002318
"13",1950,0.277276820969392
"14",1951,0.289261741936465
"15",1952,0.301246662903539
"16",1953,0.313231583870612
"17",1954,0.312021642745137
"18",1955,0.310811701619663
"19",1956,0.309601760494188
"20",1957,0.308391819368714
"21",1958,0.307181878243239
"22",1959,0.304590162861079
"23",1960,0.301998447478918
"24",1961,0.299406732096758
"25",1962,0.296815016714597
"26",1963,0.294223301332437
"27",1964,0.296833598341528
"28",1965,0.299443895350618
"29",1966,0.302054192359709
"30",1967,0.304664489368799
"31",1968,0.30727478637789
"32",1969,0.313426232850613
"33",1970,0.319577679323337
"34",1971,0.32572912579606
"35",1972,0.331880572268784
"36",1973,0.338032018741507
"37",1974,0.345062190255397
"38",1975,0.352092361769287
"39",1976,0.359122533283176
"40",1977,0.366152704797066
"41",1978,0.373182876310956
"42",1979,0.3806282944193
"43",1980,0.388073712527644
"44",1981,0.395519130635989
"45",1982,0.402964548744333
"46",1983,0.410409966852677
"47",1984,0.418362819339553
"48",1985,0.426315671826429
"49",1986,0.434268524313306
"50",1987,0.442221376800182
"51",1988,0.450174229287058
"52",1989,0.458671181048229
"53",1990,0.4671681328094
"54",1991,0.475665084570572
"55",1992,0.484162036331743
"56",1993,0.492658988092914
"57",1994,0.501040728559607
"58",1995,0.509422469026299
"59",1996,0.517804209492992
"60",1997,0.526185949959684
"61",1998,0.534567690426377
"62",1999,0.542619281570972
"63",2000,0.550670872715567
"64",2001,0.558722463860163
"65",2002,0.566774055004758
"66",2003,0.574825646149353
"67",2004,0.582336552113306
"68",2005,0.589847458077259
"69",2006,0.597358364041213
"70",2007,0.604869270005166
"71",2008,0.612380175969119
"72",2009,0.619355542368322
"73",2010,0.626330908767525
"74",2011,0.633306275166727
"75",2012,0.64028164156593
"76",2013,0.647257007965133
"77",2014,0.653753330766274
"78",2015,0.660249653567416
"79",2016,0.666745976368557
"80",2017,0.673242299169699
"81",2018,0.67973862197084
