"","x","y"
"1",1938,0.17916371869956
"2",1939,0.186695190885169
"3",1940,0.194226663070777
"4",1941,0.201758135256386
"5",1942,0.209289607441994
"6",1943,0.216821079627603
"7",1944,0.222412926706711
"8",1945,0.228004773785819
"9",1946,0.233596620864927
"10",1947,0.239188467944035
"11",1948,0.244780315023143
"12",1949,0.243619038232775
"13",1950,0.242457761442407
"14",1951,0.241296484652039
"15",1952,0.240135207861671
"16",1953,0.238973931071303
"17",1954,0.23892313010847
"18",1955,0.238872329145636
"19",1956,0.238821528182803
"20",1957,0.238770727219969
"21",1958,0.238719926257136
"22",1959,0.238381036116726
"23",1960,0.238042145976316
"24",1961,0.237703255835907
"25",1962,0.237364365695497
"26",1963,0.237025475555087
"27",1964,0.240143531295191
"28",1965,0.243261587035295
"29",1966,0.2463796427754
"30",1967,0.249497698515504
"31",1968,0.252615754255608
"32",1969,0.255775328035312
"33",1970,0.258934901815016
"34",1971,0.262094475594721
"35",1972,0.265254049374425
"36",1973,0.268413623154129
"37",1974,0.27179739727647
"38",1975,0.275181171398811
"39",1976,0.278564945521152
"40",1977,0.281948719643493
"41",1978,0.285332493765834
"42",1979,0.288850276128981
"43",1980,0.292368058492128
"44",1981,0.295885840855274
"45",1982,0.299403623218421
"46",1983,0.302921405581568
"47",1984,0.306588714097946
"48",1985,0.310256022614325
"49",1986,0.313923331130703
"50",1987,0.317590639647082
"51",1988,0.32125794816346
"52",1989,0.325075446948466
"53",1990,0.328892945733471
"54",1991,0.332710444518477
"55",1992,0.336527943303482
"56",1993,0.340345442088488
"57",1994,0.344312493696454
"58",1995,0.34827954530442
"59",1996,0.352246596912387
"60",1997,0.356213648520353
"61",1998,0.360180700128319
"62",1999,0.36429662226052
"63",2000,0.368412544392721
"64",2001,0.372528466524923
"65",2002,0.376644388657124
"66",2003,0.380760310789325
"67",2004,0.385026831616572
"68",2005,0.389293352443819
"69",2006,0.393559873271066
"70",2007,0.397826394098313
"71",2008,0.40209291492556
"72",2009,0.406511618806196
"73",2010,0.410930322686832
"74",2011,0.415349026567469
"75",2012,0.419767730448105
"76",2013,0.424186434328741
"77",2014,0.428764492762415
"78",2015,0.43334255119609
"79",2016,0.437920609629764
"80",2017,0.442498668063439
"81",2018,0.447076726497113
